arch,lam_mono,lam_zuber,lr,n_collocation,r2_mean,r2_std,r2_min,r2_max,mape_mean
16x16x8,0.1,0.1,0.0005,256,0.4388816396538469,0.2163367129781216,0.15252252968770652,0.7600407272015958,43.22196414812807
8x8,0.3,0.1,0.0005,512,0.438444347000316,0.21737223738527972,0.029550505351225387,0.637755489531231,43.09989775803418
8x8,0.3,0.3,0.001,512,0.4372710924922091,0.15425642740306159,0.20163884266701526,0.6633902765145885,44.74944357000804
16x16x8,0.0,0.1,0.0005,256,0.4343679521949677,0.2086194548556719,0.15178464308330597,0.7444870015242012,43.575026847314646
16x16x8,0.0,0.1,0.0005,512,0.4317444680410277,0.21776670109540272,0.16449778236845125,0.7532047883645112,43.71534676395852
16x8,0.5,0.3,0.0005,512,0.43165497397399405,0.13083225576788074,0.23335802001807948,0.6392657661709296,41.19133394145733
16x8,0.3,0.3,0.0005,512,0.4312356274451953,0.1314022685633905,0.2355407977176136,0.6425161766162946,41.20728920674236
16x8,0.1,0.3,0.0005,512,0.43027634240718704,0.13256583262955138,0.2357025154367981,0.6455787903328356,41.23205420086271
16x8,0.0,0.3,0.0005,512,0.43000053940262417,0.13281115667320645,0.23625994229579472,0.6466442516955788,41.23456980349596
8x8,0.5,0.1,0.0005,256,0.4296871510296433,0.21645510207269683,0.039479799850114294,0.6497052521040958,43.35808938175901
8x8,0.5,0.3,0.0005,256,0.4263287160468733,0.13053050066331234,0.2970660108722044,0.6635242666208996,43.2313630840459
8x8,0.5,0.1,0.0005,512,0.4247319079625701,0.21154707788693372,0.04844498573601774,0.637755489531231,43.538972841356916
8x8,0.5,0.1,0.001,512,0.39293673443760907,0.3668295636504218,-0.3289245580252913,0.6997128388133178,43.98975086360701
8x8,0.5,0.1,0.001,256,0.387532085712755,0.3730024460922532,-0.34746871843229155,0.694818003090725,44.00855336436739
8x8,0.3,0.0,0.0005,256,0.2887378253448782,0.37543737438876007,-0.34795703760998076,0.5981187227521334,57.323394954965444
8x8,0.3,0.0,0.0005,512,0.2869790370050784,0.3717227497006618,-0.3198828059530314,0.5942971425754526,57.60965611458482
8x8,0.1,0.0,0.0005,256,0.28114691527373187,0.3850979693802988,-0.3720684249940738,0.5976470022104774,57.49780410477539
8x8,0.1,0.0,0.0005,512,0.2786140113463696,0.38240583337034456,-0.34706066121963874,0.593608308020843,57.80598109037523
8x8,0.0,0.0,0.0005,256,0.27770620512334465,0.3907982274703381,-0.3874400629200989,0.5986028145810116,57.53745286121587
8x8,0.0,0.0,0.0005,512,0.2753761848258251,0.3881802708323085,-0.36405075902243955,0.5947395873583128,57.832521466476365
8x8,0.5,0.0,0.0005,256,0.2545841038055362,0.4000477456824482,-0.33106874624603155,0.5998714145496138,57.83375455691316
8x8,0.5,0.0,0.0005,512,0.2518161235130761,0.4013966230036862,-0.3006557922420654,0.5960940953912812,58.05063912227996
16x8,0.3,0.0,0.001,512,0.22664940742874654,0.2536739732171994,-0.1746190125095448,0.5325263767734395,77.21400074823097
16x8,0.3,0.0,0.001,256,0.2199823140869631,0.2275616706473029,-0.14404337293610503,0.44409657971761207,77.14116470725935
16x8,0.5,0.0,0.001,256,0.21892644129965425,0.2276687532709238,-0.1498541504544637,0.43415362785708467,76.28714629002027
16x8,0.5,0.0,0.001,512,0.19725094750379685,0.22348926534738747,-0.18310134503148134,0.45343243311382075,77.9679117783268
16x8,0.1,0.0,0.001,512,0.19248824270689538,0.2260936092441395,-0.1742783104708483,0.4453352150919627,78.85513776613439
16x8,0.1,0.0,0.001,256,0.19244328444661413,0.20864031556255738,-0.14434563518257004,0.42750427882842024,78.30112953954469
16x8,0.0,0.0,0.001,256,0.17593827588629157,0.20143448745094136,-0.14472379479481234,0.42623235801247195,78.81733681424403
16x8,0.0,0.0,0.001,512,0.17424349893690447,0.22103876426062774,-0.17441682755082222,0.4441139549014408,79.4229314049357
16x8,0.5,0.0,0.0005,512,0.032890269353968035,0.3660521130162088,-0.5828257858156809,0.5032508239525684,67.84380181639186
16x8,0.3,0.0,0.0005,512,0.022760621038078077,0.365795685778821,-0.5889935304938634,0.49647976016073825,68.00133558251413
8x8,0.0,0.0,0.001,256,0.016190940964825762,0.7880767987038362,-1.2466817989339565,0.8331033490351133,67.92811202100964
8x8,0.0,0.0,0.001,512,0.015778401192177792,0.7970651050814261,-1.310132933058036,0.8276285804080225,68.04734537587413
8x8,0.1,0.0,0.001,512,0.014316572980918197,0.7984675546007268,-1.3153890999956501,0.8274894983783966,67.80594688440081
8x8,0.3,0.0,0.001,512,0.014118331804127627,0.799687276573436,-1.3270945099565101,0.8272325835773319,67.15526339211223
8x8,0.1,0.0,0.001,256,0.013897601976019126,0.790928117633689,-1.2562152576653585,0.8329833167166019,67.7442873769185
8x8,0.3,0.0,0.001,256,0.013806401412686298,0.7908973989514253,-1.2654289042857423,0.8327223933626892,67.16688054351303
16x8,0.1,0.0,0.0005,512,0.013068547002791609,0.36112722586155105,-0.584772304193367,0.4865016498244026,68.15484319289567
16x8,0.5,0.0,0.0005,256,0.012367317838197578,0.37086429897347584,-0.5974260159030953,0.5081169301097652,67.73685632291559
16x8,0.0,0.0,0.0005,512,0.008857794609376902,0.3584514261311498,-0.5823165842491607,0.48071252495689987,68.22333147079381
16x8,0.3,0.0,0.0005,256,-0.0028161389560141803,0.36947032591856815,-0.600710773117684,0.5011765160215897,67.93581060211767
16x8,0.1,0.0,0.0005,256,-0.017739943700632234,0.366256185107148,-0.5974989729347455,0.4916794032395507,68.11139365779246
16x8,0.0,0.0,0.0005,256,-0.025633984740327964,0.3647178712944431,-0.5955321541747791,0.4859415364351187,68.18211046753292
8x8,0.5,0.0,0.001,512,-0.05517035241767156,0.9224066181054865,-1.6894924851292323,0.8269157806807301,65.48787560269014
16x16x8,0.5,0.0,0.0005,256,-0.07105228055415061,0.5749887015387135,-1.1170136404552764,0.45437736975429766,93.55616301366696
8x8,0.5,0.0,0.001,256,-0.07205603657066546,0.9284174997877538,-1.6892878788006946,0.8324450735772679,65.50654302447438
16x16x8,0.3,0.0,0.0005,256,-0.09501385811451138,0.5547353322212333,-1.117059937143122,0.4792629574678595,94.38058360157416
16x16x8,0.1,0.0,0.0005,256,-0.09975165568880517,0.5482948467039447,-1.1171245428273155,0.4776353704875891,97.38278488507413
16x16x8,0.0,0.0,0.0005,256,-0.11070894584623847,0.5410771665156117,-1.1171441213229065,0.4423267147877995,98.4213236943404
16x16x8,0.5,0.0,0.0005,512,-0.12147957433429832,0.6958876455535029,-1.4416565919520057,0.4589462434935352,96.41482534535312
16x16x8,0.1,0.0,0.0005,512,-0.15471437633478127,0.6731008521914581,-1.4416085143905542,0.479468931960382,100.60836049540761
16x16x8,0.3,0.0,0.0005,512,-0.1592709237841222,0.6711050781525675,-1.4417018547905434,0.47968650755203157,97.56682563976402
16x16x8,0.0,0.0,0.0005,512,-0.16142894079884107,0.6679196869115239,-1.4416496692521705,0.45092331744046177,101.36879396601282
16x16x8,0.3,0.0,0.001,512,-0.30821321508409083,1.0297586534335823,-2.3546334248517433,0.3950059861992401,181.93798416286225
16x16x8,0.3,0.0,0.001,256,-0.31397544311951375,1.0635149801403858,-2.426907462129505,0.39400878371874537,159.67316800422068
16x16x8,0.5,0.0,0.001,512,-0.3149108596741087,1.006728632400072,-2.298055861088913,0.4073939483307275,190.4913329442873
16x16x8,0.1,0.0,0.001,256,-0.3180640437467686,1.0715453150897918,-2.453442401567824,0.35893448780809156,168.44748430645348
16x16x8,0.0,0.0,0.001,256,-0.32236214526147683,1.0755446784136082,-2.4650457231368677,0.3499795716374089,174.02810181324728
16x16x8,0.1,0.0,0.001,512,-0.3392341480103743,1.06955074398153,-2.4704606445911543,0.3687157495512222,190.83937549056174
16x16x8,0.5,0.0,0.001,256,-0.35051555436087006,1.0473359352782614,-2.415244807822777,0.40571514918947227,172.22694552130753
16x16x8,0.0,0.0,0.001,512,-0.48663679672095955,1.1137172129440767,-2.649694611474503,0.34022001319801976,205.16290978578945
