Fin Shape,Fin Array,Subcooling(K),Width(um),Height(um),Spacing(um),Coverage,Porosity,"MBL, Lateral (um)","MBL, Total (um)",Roughness Factor,Surface Material,Fluid,CHF(kW/m2),Source
Square,Square,25,50,60,50,1,0.750,150.000,81.818,2.200,Silicon (N-type),FC-72,449.2,
Square,Square,45,50,60,50,1,0.750,150.000,81.818,2.200,Silicon (N-type),FC-72,545.6,
N/A,N/A,0,0,0,0,0,0.000,0.000,0.000,1.000,Copper,FC-72,188,"Rainey et al. 2000
https://doi.org/10.1115/1.1288708"
Square,Square,0,1000,1000,1000,1,0.750,3000.000,1500.000,2.000,Copper,FC-72,361,
Square,Square,0,1000,2000,1000,1,0.750,3000.000,2000.000,3.000,Copper,FC-72,523,
Square,Square,0,1000,4000,1000,1,0.750,3000.000,2400.000,5.000,Copper,FC-72,814,
Square,Square,0,1000,8000,1000,1,0.750,3000.000,2666.667,9.000,Copper,FC-72,917,
N/A,N/A,0,0,0,0,0,0.000,0.000,0.000,1.000,Copper,FC-72,154.8,"Lee et al. 2011
https://doi.org/10.1615/JEnhHeatTransf.v18.i4.50"
Square,Square,0,200,500,200,1,0.750,600.000,428.571,3.500,Copper,FC-72,330,
Square,Square,0,400,400,400,1,0.750,1200.000,600.000,2.000,Copper,FC-72,285,
Square,Square,0,200,800,200,1,0.750,600.000,480.000,5.000,Copper,FC-72,351,
Square,Square,0,400,1600,400,1,0.750,1200.000,960.000,5.000,Copper,FC-72,499,
N/A,N/A,0,0,0,0,0,0.000,0.000,0.000,1.000,Copper,FC-72,181,"Yu et al. 2007
https://doi.org/10.1016/j.ijheatmasstransfer.2007.02.003"
Square,Square,0,1000,4000,2000,1,0.889,8000.000,5120.000,2.778,Copper,FC-72,701,
Square,Square,0,1000,2000,2000,1,0.889,8000.000,3764.706,1.889,Copper,FC-72,445,
Square,Square,0,1000,1000,2000,1,0.889,8000.000,2461.538,1.444,Copper,FC-72,345,
Square,Square,0,1000,500,2000,1,0.889,8000.000,1454.545,1.222,Copper,FC-72,297,
Square,Square,0,1000,4000,1000,1,0.750,3000.000,2400.000,5.000,Copper,FC-72,803,
Square,Square,0,1000,2000,1000,1,0.750,3000.000,2000.000,3.000,Copper,FC-72,504,
Square,Square,0,1000,1000,1000,1,0.750,3000.000,1500.000,2.000,Copper,FC-72,378,
Square,Square,0,1000,500,1000,1,0.750,3000.000,1000.000,1.500,Copper,FC-72,301,
Square,Square,0,1000,4000,500,1,0.556,1250.000,1095.890,8.111,Copper,FC-72,983,
Square,Square,0,1000,2000,500,1,0.556,1250.000,975.610,4.556,Copper,FC-72,693,
Square,Square,0,1000,1000,500,1,0.556,1250.000,800.000,2.778,Copper,FC-72,489,
Square,Square,0,1000,500,500,1,0.556,1250.000,588.235,1.889,Copper,FC-72,371,
N/A,N/A,15,0,0,0,0,0.000,0.000,0.000,1.000,Silicon (N-type),FC-72,182.5,"Kong et al. 2018
https://doi.org/10.1016/j.expthermflusci.2017.09.021"
N/A,N/A,25,0,0,0,0,0.000,0.000,0.000,1.000,Silicon (N-type),FC-72,205.2,
N/A,N/A,35,0,0,0,0,0.000,0.000,0.000,1.000,Silicon (N-type),FC-72,225.1,
Square,Square,15,30,60,30,1,0.750,90.000,60.000,3.000,Silicon (N-type),FC-72,310.5,
Square,Square,25,30,60,30,1,0.750,90.000,60.000,3.000,Silicon (N-type),FC-72,380.1,
Square,Square,35,30,60,30,1,0.750,90.000,60.000,3.000,Silicon (N-type),FC-72,415.6,
Square,Square,15,30,60,30,0.7,0.750,90.000,60.000,3.000,Silicon (N-type),FC-72,386.8,
Square,Square,25,30,60,30,0.7,0.750,90.000,60.000,3.000,Silicon (N-type),FC-72,446,
Square,Square,35,30,60,30,0.7,0.750,90.000,60.000,3.000,Silicon (N-type),FC-72,518.5,
Square,Square,15,30,60,30,0.7,0.750,90.000,60.000,3.000,Silicon (N-type),FC-72,381.7,
Square,Square,25,30,60,30,0.7,0.750,90.000,60.000,3.000,Silicon (N-type),FC-72,444,
Square,Square,35,30,60,30,0.7,0.750,90.000,60.000,3.000,Silicon (N-type),FC-72,518.5,
Square,Square,15,30,60,30,0.49,0.750,90.000,60.000,3.000,Silicon (N-type),FC-72,354.1,
Square,Square,25,30,60,30,0.49,0.750,90.000,60.000,3.000,Silicon (N-type),FC-72,415.4,
Square,Square,35,30,60,30,0.49,0.750,90.000,60.000,3.000,Silicon (N-type),FC-72,471.5,
Square,Square,15,30,60,30,0.49,0.750,90.000,60.000,3.000,Silicon (N-type),FC-72,393.9,
Square,Square,25,30,60,30,0.49,0.750,90.000,60.000,3.000,Silicon (N-type),FC-72,458.3,
Square,Square,35,30,60,30,0.49,0.750,90.000,60.000,3.000,Silicon (N-type),FC-72,521.6,
N/A,N/A,15,0,0,0,0,0.000,0.000,0.000,1.000,Silicon,FC-72,208.2,"Cao et al. 2018
https://doi.org/10.1016/j.ijheatmasstransfer.2018.05.033"
N/A,N/A,25,0,0,0,0,0.000,0.000,0.000,1.000,Silicon,FC-72,239.8,
N/A,N/A,35,0,0,0,0,0.000,0.000,0.000,1.000,Silicon,FC-72,264.5,
Square,Square,15,30,60,30,0.78,0.750,90.000,60.000,3.000,Silicon,FC-72,382.2,
Square,Square,25,30,60,30,0.78,0.750,90.000,60.000,3.000,Silicon,FC-72,444,
Square,Square,35,30,60,30,0.78,0.750,90.000,60.000,3.000,Silicon,FC-72,534.5,
Square,Hexagonal,15,30,60,45,1,0.815,132.380,78.958,2.478,Silicon,FC-72,380.1,
Square,Hexagonal,25,30,60,45,1,0.815,132.380,78.958,2.478,Silicon,FC-72,463,
Square,Hexagonal,35,30,60,45,1,0.815,132.380,78.958,2.478,Silicon,FC-72,553.1,
Square,Square,0,400,3000,400,1.000,0.750,1200.000,1058.824,8.500,Copper,FC-72,558,Guglielmini et al. 2002 https://doi.org/10.1016/S1290-0729(02)01353-4
Square,Square,0,400,3000,400,0.694,0.750,1200.000,1058.824,8.500,Copper,FC-72,570.1,
Square,Square,0,400,3000,400,0.444,0.750,1200.000,1058.824,8.500,Copper,FC-72,517.9,
Square,Square,0,400,6000,400,1.000,0.750,1200.000,1125.000,16.000,Copper,FC-72,650,
Square,Square,0,400,6000,400,0.694,0.750,1200.000,1125.000,16.000,Copper,FC-72,597,
Square,Square,0,400,6000,400,0.444,0.750,1200.000,1125.000,16.000,Copper,FC-72,655.6,
Square,Square,0,1000,3000,1000,1.000,0.750,3000.000,2250.000,4.000,Copper,FC-72,489.3,
Square,Square,0,1000,3000,1000,0.694,0.750,3000.000,2250.000,4.000,Copper,FC-72,459.4,
Square,Square,0,1000,3000,1000,0.444,0.750,3000.000,2250.000,4.000,Copper,FC-72,439,
Square,Square,0,1000,6000,1000,1.000,0.750,3000.000,2571.429,7.000,Copper,FC-72,711.6,
Square,Square,0,1000,6000,1000,0.694,0.750,3000.000,2571.429,7.000,Copper,FC-72,559.6,
Square,Square,0,1000,6000,1000,0.444,0.750,3000.000,2571.429,7.000,Copper,FC-72,660.7,
