P,G,X,CHF,grid_base_proxy,grid_base_final
100.0,3500.0,0.05,4106.0,3633.0,3633.0
100.0,3500.0,0.1,3196.0,2574.0,2574.0
100.0,3500.0,0.15,2769.0,2445.0,2445.0
100.0,3500.0,0.2,2557.0,2324.0,2324.0
100.0,3500.0,0.25,2311.0,2055.0,2055.0
100.0,3500.0,0.3,1729.0,1720.0,1720.0
100.0,3500.0,0.35,1158.0,1139.0,1139.0
100.0,3500.0,0.4,891.0,891.0,891.0
100.0,3500.0,0.45,817.0,815.0,815.0
100.0,3500.0,0.5,670.0,669.0,669.0
100.0,3500.0,0.6,402.0,400.0,400.0
100.0,3500.0,0.7,210.0,223.0,223.0
100.0,3500.0,0.8,75.0,75.0,75.0
100.0,3500.0,0.9,28.0,28.0,28.0
100.0,4000.0,-0.5,33928.0,31807.0,31807.0
100.0,4000.0,-0.4,28471.0,28471.0,28471.0
100.0,4000.0,-0.3,22722.0,23021.0,23021.0
100.0,4000.0,-0.2,10512.0,10811.0,10811.0
100.0,4000.0,-0.15,8728.0,8727.0,8727.0
100.0,4000.0,-0.1,7528.0,7796.0,7796.0
100.0,4000.0,-0.05,5582.0,5551.0,5551.0
100.0,4000.0,0.0,4709.0,4510.0,4510.0
100.0,4000.0,0.05,4228.0,3620.0,3620.0
100.0,4000.0,0.1,3119.0,2659.0,2659.0
100.0,4000.0,0.15,2736.0,2547.0,2547.0
100.0,4000.0,0.2,2504.0,2305.0,2305.0
100.0,4000.0,0.25,2282.0,2074.0,2074.0
100.0,4000.0,0.3,1850.0,1830.0,1830.0
100.0,4000.0,0.35,1470.0,1460.0,1460.0
100.0,4000.0,0.4,1160.0,1160.0,1160.0
100.0,4000.0,0.45,1030.0,1040.0,1040.0
100.0,4000.0,0.5,823.0,830.0,830.0
100.0,4000.0,0.6,475.0,466.0,466.0
100.0,4000.0,0.7,248.0,257.0,257.0
100.0,4000.0,0.8,96.0,96.0,96.0
100.0,4000.0,0.9,38.0,39.0,39.0
100.0,4500.0,-0.5,35406.0,33225.0,33225.0
100.0,4500.0,-0.4,29774.0,29773.0,29773.0
