study,CHF_kW_m2,Ra_um,CA_deg,material,geometry,fluid,P_kPa,orient_deg,Subcooling(K),Width(um),Height(um),Spacing(um),Coverage,Porosity,"MBL, Lateral (um)","MBL, Total (um)"
Rainey et al. 2000,361.0,2.0,,Copper,pin_fin,FC-72,101.325,0.0,0,1000.0,1000.0,1000.0,1.0,0.75,3000.0,1500.0
Rainey et al. 2000,523.0,3.0,,Copper,pin_fin,FC-72,101.325,0.0,0,1000.0,2000.0,1000.0,1.0,0.75,3000.0,2000.0
Rainey et al. 2000,814.0,5.0,,Copper,pin_fin,FC-72,101.325,0.0,0,1000.0,4000.0,1000.0,1.0,0.75,3000.0,2400.0
Rainey et al. 2000,917.0,9.0,,Copper,pin_fin,FC-72,101.325,0.0,0,1000.0,8000.0,1000.0,1.0,0.75,3000.0,2666.667
Lee et al. 2011,154.8,1.0,,Copper,pin_fin,FC-72,101.325,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lee et al. 2011,330.0,3.5,,Copper,pin_fin,FC-72,101.325,0.0,0,200.0,500.0,200.0,1.0,0.75,600.0,428.571
Lee et al. 2011,285.0,2.0,,Copper,pin_fin,FC-72,101.325,0.0,0,400.0,400.0,400.0,1.0,0.75,1200.0,600.0
Lee et al. 2011,351.0,5.0,,Copper,pin_fin,FC-72,101.325,0.0,0,200.0,800.0,200.0,1.0,0.75,600.0,480.0
Lee et al. 2011,499.0,5.0,,Copper,pin_fin,FC-72,101.325,0.0,0,400.0,1600.0,400.0,1.0,0.75,1200.0,960.0
Yu et al. 2007,181.0,1.0,,Copper,pin_fin,FC-72,101.325,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Yu et al. 2007,701.0,2.778,,Copper,pin_fin,FC-72,101.325,0.0,0,1000.0,4000.0,2000.0,1.0,0.889,8000.0,5120.0
Yu et al. 2007,445.0,1.889,,Copper,pin_fin,FC-72,101.325,0.0,0,1000.0,2000.0,2000.0,1.0,0.889,8000.0,3764.706
Yu et al. 2007,345.0,1.444,,Copper,pin_fin,FC-72,101.325,0.0,0,1000.0,1000.0,2000.0,1.0,0.889,8000.0,2461.538
Yu et al. 2007,297.0,1.222,,Copper,pin_fin,FC-72,101.325,0.0,0,1000.0,500.0,2000.0,1.0,0.889,8000.0,1454.545
Yu et al. 2007,803.0,5.0,,Copper,pin_fin,FC-72,101.325,0.0,0,1000.0,4000.0,1000.0,1.0,0.75,3000.0,2400.0
Yu et al. 2007,504.0,3.0,,Copper,pin_fin,FC-72,101.325,0.0,0,1000.0,2000.0,1000.0,1.0,0.75,3000.0,2000.0
Yu et al. 2007,378.0,2.0,,Copper,pin_fin,FC-72,101.325,0.0,0,1000.0,1000.0,1000.0,1.0,0.75,3000.0,1500.0
Yu et al. 2007,301.0,1.5,,Copper,pin_fin,FC-72,101.325,0.0,0,1000.0,500.0,1000.0,1.0,0.75,3000.0,1000.0
Yu et al. 2007,983.0,8.111,,Copper,pin_fin,FC-72,101.325,0.0,0,1000.0,4000.0,500.0,1.0,0.556,1250.0,1095.89
Yu et al. 2007,693.0,4.556,,Copper,pin_fin,FC-72,101.325,0.0,0,1000.0,2000.0,500.0,1.0,0.556,1250.0,975.61
Yu et al. 2007,489.0,2.778,,Copper,pin_fin,FC-72,101.325,0.0,0,1000.0,1000.0,500.0,1.0,0.556,1250.0,800.0
Yu et al. 2007,371.0,1.889,,Copper,pin_fin,FC-72,101.325,0.0,0,1000.0,500.0,500.0,1.0,0.556,1250.0,588.235
Kong et al. 2018,182.5,1.0,,Silicon (N-type),pin_fin,FC-72,101.325,0.0,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kong et al. 2018,205.2,1.0,,Silicon (N-type),pin_fin,FC-72,101.325,0.0,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
