dataset,form,model,R2_floored_rand,within_10pct_mean_rand,R2_floored_loso,within_10pct_mean_loso,optimism_gap
D3_KAERI_uniform,reduced,XGBoost,0.7820143964375028,0.4278625954198474,-1.0,0.2310365821704056,1.7820143964375028
D3_KAERI_uniform,reduced,LightGBM,0.7934864564826007,0.3870229007633588,-1.0,0.2526366879850256,1.7934864564826007
D3_KAERI_uniform,reduced,CatBoost,0.8078845261015133,0.3969465648854962,-1.0,0.188805446856246,1.8078845261015133
D3_KAERI_uniform,reduced,GPR_Matern,0.2783302603955437,0.3175572519083969,-1.0,0.1819468368624379,1.2783302603955438
D4_KAERI_nonuniform,local,Linear,0.9212078497844534,0.4519662921348314,-1.0,0.0777947888532964,1.9212078497844534
D4_KAERI_nonuniform,local,Poly2_Ridge,0.5206891997688923,0.7199438202247191,-1.0,0.2077595264259534,1.5206891997688923
D4_KAERI_nonuniform,local,kNN_k5,0.945778365102186,0.6227528089887641,-1.0,0.140008990387847,1.945778365102186
D4_KAERI_nonuniform,local,RandomForest,0.9788506140300616,0.7814606741573035,-1.0,0.1415240927990474,1.9788506140300615
D4_KAERI_nonuniform,local,ExtraTrees,0.98180448530477,0.8637640449438203,-1.0,0.0892528015440901,1.98180448530477
D4_KAERI_nonuniform,local,HistGB,0.9325076939379648,0.796629213483146,-1.0,0.1818077641421562,1.9325076939379648
D4_KAERI_nonuniform,local,SVR_RBF,0.9706933165604392,0.9191011235955054,-1.0,0.2492263848546477,1.9706933165604392
D4_KAERI_nonuniform,local,MLP,0.9283177878930284,0.6179775280898876,-1.0,0.0477334668556183,1.9283177878930284
D4_KAERI_nonuniform,local,XGBoost,0.9764456136740398,0.8581460674157304,-1.0,0.1339254385964912,1.9764456136740398
D4_KAERI_nonuniform,local,LightGBM,0.9478382223345452,0.8089887640449438,-1.0,0.163693020866342,1.9478382223345452
D4_KAERI_nonuniform,local,CatBoost,0.9742193125276984,0.8466292134831461,-1.0,0.1653236419593044,1.9742193125276986
D4_KAERI_nonuniform,local,GPR_Matern,0.983146870513125,0.9202247191011236,-0.5892694911176688,0.2654652685589357,1.5724163616307938
D4_KAERI_nonuniform,inlet,Linear,0.9167515737624712,0.4095505617977528,-1.0,0.1098204565099703,1.9167515737624712
D4_KAERI_nonuniform,inlet,Poly2_Ridge,0.8159683933175451,0.7665730337078651,-1.0,0.1912434476937257,1.815968393317545
D4_KAERI_nonuniform,inlet,kNN_k5,0.924821186258868,0.574438202247191,-1.0,0.1345523619597955,1.924821186258868
D4_KAERI_nonuniform,inlet,RandomForest,0.9652132158009138,0.797191011235955,-1.0,0.1178912559175717,1.965213215800914
D4_KAERI_nonuniform,inlet,ExtraTrees,0.967953824209854,0.8497191011235955,-1.0,0.0303805010610818,1.967953824209854
D4_KAERI_nonuniform,inlet,HistGB,0.9241767867133112,0.7800561797752807,-1.0,0.1603585712365204,1.924176786713311
D4_KAERI_nonuniform,inlet,SVR_RBF,0.9580121721302834,0.8676966292134832,-1.0,0.2996157764343097,1.9580121721302834
D4_KAERI_nonuniform,inlet,MLP,0.9219781747499964,0.4592696629213483,-1.0,0.0436892835458409,1.9219781747499964
D4_KAERI_nonuniform,inlet,XGBoost,0.9575658228954798,0.8410112359550561,-1.0,0.1553768129339742,1.9575658228954798
D4_KAERI_nonuniform,inlet,LightGBM,0.9409576822104528,0.7994382022471911,-1.0,0.1691487427585357,1.9409576822104528
D4_KAERI_nonuniform,inlet,CatBoost,0.9543346035939576,0.8123595505617978,-1.0,0.1946548063437141,1.9543346035939577
D4_KAERI_nonuniform,inlet,GPR_Matern,0.0277001649325482,0.1421348314606741,-1.0,0.1154193899782135,1.0277001649325481
D4_KAERI_nonuniform,reduced,Linear,0.854512371659211,0.2929775280898876,-1.0,0.1198930510041827,1.8545123716592111
D4_KAERI_nonuniform,reduced,Poly2_Ridge,0.8370043226343551,0.4123595505617977,-1.0,0.1104945201314321,1.837004322634355
D4_KAERI_nonuniform,reduced,kNN_k5,0.902330261653748,0.4426966292134831,-1.0,0.1260295614515215,1.902330261653748
D4_KAERI_nonuniform,reduced,RandomForest,0.9283433714897388,0.5646067415730338,-1.0,0.1387093932148378,1.9283433714897389
D4_KAERI_nonuniform,reduced,ExtraTrees,0.9124898280525476,0.5817415730337079,-1.0,0.0710559204524721,1.9124898280525477
D4_KAERI_nonuniform,reduced,HistGB,0.8934698877043801,0.5325842696629214,-1.0,0.0978544661462084,1.89346988770438
D4_KAERI_nonuniform,reduced,SVR_RBF,0.9111947367539664,0.5325842696629213,-1.0,0.1500026039438884,1.9111947367539663
D4_KAERI_nonuniform,reduced,MLP,0.887713837813763,0.3609550561797752,-1.0,0.0503883581595731,1.887713837813763
D4_KAERI_nonuniform,reduced,XGBoost,0.9156518061870648,0.5688202247191011,-1.0,0.1274554921787226,1.9156518061870647
D4_KAERI_nonuniform,reduced,LightGBM,0.9060844090752967,0.5463483146067416,-1.0,0.0884048723340919,1.9060844090752966
D4_KAERI_nonuniform,reduced,CatBoost,0.9154667222691412,0.5182584269662922,-1.0,0.0933723196881091,1.9154667222691413
D4_KAERI_nonuniform,reduced,GPR_Matern,0.7958587050140831,0.4188202247191011,-1.0,0.1020417291029218,1.795858705014083
D2_Zhao2020,local,Linear,0.7522578597965603,0.3630026809651475,-1.0,0.2813914726064077,1.7522578597965603
D2_Zhao2020,local,Poly2_Ridge,0.8090765416719778,0.5384718498659516,-0.1509027615152684,0.294365476631334,0.9599793031872462
D2_Zhao2020,local,kNN_k5,0.8526701508854714,0.6036193029490616,0.1936649504563063,0.2490873842134447,0.6590052004291651
D2_Zhao2020,local,RandomForest,0.8888261936437644,0.7186327077747989,0.2160007365365484,0.3211007631255854,0.672825457107216
D2_Zhao2020,local,ExtraTrees,0.9192049715427594,0.7698391420911529,0.2259445814547805,0.2975769467435586,0.6932603900879789
D2_Zhao2020,local,HistGB,0.9011624434952455,0.7298927613941019,0.2689074762047383,0.3234233094212307,0.6322549672905072
D2_Zhao2020,local,SVR_RBF,0.9214721387081296,0.7349865951742628,0.2049712826304649,0.3418830895327189,0.7165008560776647
D2_Zhao2020,local,MLP,0.8568147043874038,0.6058981233243967,-1.0,0.2696820932059535,1.856814704387404
D2_Zhao2020,local,XGBoost,0.9200058741710184,0.7579088471849864,0.3121805273861985,0.3377488748609631,0.6078253467848199
