dataset,n,fluid,model,split,n_test,n_train,R2,within_10pct,within_20pct,MAPE_pct,RMSE,safe_side_frac,n_seeds,R2_sd
D8_Pioro_R134a,268,R-134a,BOUND_Katto_x2.0,70/30,81.0,187.0,0.06119995732424046,0.12839506172839504,0.26172839506172835,74.56487893128872,87.49472345493493,0.5691358024691359,10.0,0.0657622478728695
D8_Pioro_R134a,268,R-134a,BOUND_Katto_x3.0,70/30,81.0,187.0,0.061164984092858955,0.12839506172839504,0.26172839506172835,74.56592323359303,87.49608254993035,0.5691358024691359,10.0,0.06581543457826759
D8_Pioro_R134a,268,R-134a,BOUND_Katto_unbounded,70/30,81.0,187.0,0.061164984092858955,0.12839506172839504,0.26172839506172835,74.56592323359303,87.49608254993035,0.5691358024691359,10.0,0.06581543457826759
D8_Pioro_R134a,268,R-134a,PIML_dimensionless,LOSO,29.77777777777778,238.22222222222223,0.4477507298938531,0.15221496521783878,0.3046660811840722,40.50853059817644,54.5212750322825,0.5634786480894677,9.0,0.44589791053719335
D8_Pioro_R134a,268,R-134a,BOUND_Katto_x1.5,LOSO,29.77777777777778,238.22222222222223,-0.2813094700122286,0.10288790027045899,0.22609700186536769,78.41016048526473,92.76211727207856,0.576264135687549,9.0,0.3594660336945949
D8_Pioro_R134a,268,R-134a,BOUND_Katto_x2.0,LOSO,29.77777777777778,238.22222222222223,-0.316979797797669,0.09671506076428615,0.21066490309993557,81.16246380678285,94.29346186396924,0.5608320369221169,9.0,0.3446689793909674
D8_Pioro_R134a,268,R-134a,BOUND_Katto_x3.0,LOSO,29.77777777777778,238.22222222222223,-0.316979797797669,0.09671506076428615,0.21066490309993557,81.16246380678285,94.29346186396924,0.5608320369221169,9.0,0.3446689793909674
D8_Pioro_R134a,268,R-134a,BOUND_Katto_unbounded,LOSO,29.77777777777778,238.22222222222223,-0.316979797797669,0.09671506076428615,0.21066490309993557,81.16246380678285,94.29346186396924,0.5608320369221169,9.0,0.3446689793909674
D3_KAERI_uniform,651,water,PHYS_KattoOhno,all_rows_no_fitting,651.0,0.0,0.6199600525176616,0.533026113671275,0.8279569892473119,51.658606198291665,907.270731364315,0.7019969278033794,,
D3_KAERI_uniform,651,water,PHYS_Biasi,all_rows_no_fitting,651.0,0.0,0.3636541290704255,0.3302611367127496,0.5883256528417818,30.998337623883938,1174.0021472627916,0.33640552995391704,,
D3_KAERI_uniform,651,water,PHYS_LUT2006,all_rows_no_fitting,651.0,0.0,0.7682101588345094,0.2196620583717358,0.46236559139784944,25.396149906932937,708.5483237871742,0.32565284178187404,,
D3_KAERI_uniform,651,water,PIML_dimensionless,80/20,131.0,520.0,0.9414950760093624,0.7595419847328244,0.8877862595419848,9.895687080914687,361.64159239625826,0.4801526717557252,10.0,0.026110873429984367
D3_KAERI_uniform,651,water,BOUND_Katto_x1.5,80/20,131.0,520.0,0.9138475643516417,0.8114503816793892,0.9053435114503816,23.804512935408674,442.2142701121089,0.46793893129770997,10.0,0.018892442230651146
D3_KAERI_uniform,651,water,BOUND_Katto_x2.0,80/20,131.0,520.0,0.9245195196505758,0.8114503816793894,0.8946564885496183,18.561068612886604,415.6663686274034,0.4770992366412214,10.0,0.020132404175534826
D3_KAERI_uniform,651,water,BOUND_Katto_x3.0,80/20,131.0,520.0,0.9190664211842279,0.8106870229007633,0.8900763358778626,14.714931345933072,426.5317633305352,0.49312977099236643,10.0,0.02653502842584194
D3_KAERI_uniform,651,water,BOUND_Katto_unbounded,80/20,131.0,520.0,0.9109194711360287,0.8091603053435115,0.8854961832061068,13.402815754789,444.0746660883177,0.49770992366412214,10.0,0.03180959913086242
D3_KAERI_uniform,651,water,ITER_closure_GB,80/20,131.0,520.0,0.7697569406603828,0.7206106870229008,0.8572519083969465,35.99540142022264,747.6857519670926,0.4893129770992366,10.0,0.04457920031867327
D3_KAERI_uniform,651,water,PIML_dimensionless,70/30,196.0,455.0,0.8761521003949653,0.7454081632653061,0.8709183673469388,11.306450543316823,503.07775734944505,0.4612244897959184,10.0,0.15866503827089704
D3_KAERI_uniform,651,water,BOUND_Katto_x1.5,70/30,196.0,455.0,0.88720752918146,0.7959183673469388,0.9086734693877551,25.81673439090137,509.0582605554475,0.4709183673469388,10.0,0.0704757166661278
D3_KAERI_uniform,651,water,BOUND_Katto_x2.0,70/30,196.0,455.0,0.8969078715536447,0.7994897959183673,0.898469387755102,20.200194276707418,485.77315340216427,0.4795918367346939,10.0,0.07111286983315335
D3_KAERI_uniform,651,water,BOUND_Katto_x3.0,70/30,196.0,455.0,0.892038373089146,0.7959183673469388,0.8938775510204081,16.418426695688076,496.4337075598679,0.49387755102040815,10.0,0.07110215466409665
D3_KAERI_uniform,651,water,BOUND_Katto_unbounded,70/30,196.0,455.0,0.8834510951732385,0.7959183673469388,0.8913265306122449,15.149154398312692,515.6356406895894,0.498469387755102,10.0,0.07154030750792664
D3_KAERI_uniform,651,water,ITER_closure_GB,70/30,196.0,455.0,0.7557701032226013,0.7239795918367348,0.8561224489795917,38.25336479280675,759.5992559460012,0.4913265306122449,10.0,0.058208111702252686
D3_KAERI_uniform,651,water,PIML_dimensionless,LOSO,65.1,585.9,-14.44878734076795,0.37905226235552325,0.5238371776416534,74.34774286050705,1669.0664075030659,0.5366695755721012,10.0,41.945011490759406
