dataset,study,boiling_mode,fluid,D_m,L_m,P_kPa,G_kg_m2s,X,dHin_kJkg,Ra_um,CA_deg,orient_deg,CHF_kW_m2,Subcooling(K),Width(um),Height(um),Spacing(um),Coverage,Porosity
PinFin,Kong et al. 2018,pool,FC-72,,,101.325,,,,3.0,,0.0,415.6,35,30.0,60.0,30.0,1.0,0.75
PinFin,Kong et al. 2018,pool,FC-72,,,101.325,,,,3.0,,0.0,386.8,15,30.0,60.0,30.0,0.7,0.75
PinFin,Kong et al. 2018,pool,FC-72,,,101.325,,,,3.0,,0.0,446.0,25,30.0,60.0,30.0,0.7,0.75
PinFin,Kong et al. 2018,pool,FC-72,,,101.325,,,,3.0,,0.0,518.5,35,30.0,60.0,30.0,0.7,0.75
PinFin,Kong et al. 2018,pool,FC-72,,,101.325,,,,3.0,,0.0,381.7,15,30.0,60.0,30.0,0.7,0.75
PinFin,Kong et al. 2018,pool,FC-72,,,101.325,,,,3.0,,0.0,444.0,25,30.0,60.0,30.0,0.7,0.75
PinFin,Kong et al. 2018,pool,FC-72,,,101.325,,,,3.0,,0.0,518.5,35,30.0,60.0,30.0,0.7,0.75
PinFin,Kong et al. 2018,pool,FC-72,,,101.325,,,,3.0,,0.0,354.1,15,30.0,60.0,30.0,0.49,0.75
PinFin,Kong et al. 2018,pool,FC-72,,,101.325,,,,3.0,,0.0,415.4,25,30.0,60.0,30.0,0.49,0.75
PinFin,Kong et al. 2018,pool,FC-72,,,101.325,,,,3.0,,0.0,471.5,35,30.0,60.0,30.0,0.49,0.75
PinFin,Kong et al. 2018,pool,FC-72,,,101.325,,,,3.0,,0.0,393.9,15,30.0,60.0,30.0,0.49,0.75
PinFin,Kong et al. 2018,pool,FC-72,,,101.325,,,,3.0,,0.0,458.3,25,30.0,60.0,30.0,0.49,0.75
PinFin,Kong et al. 2018,pool,FC-72,,,101.325,,,,3.0,,0.0,521.6,35,30.0,60.0,30.0,0.49,0.75
PinFin,Cao et al. 2018,pool,FC-72,,,101.325,,,,1.0,,0.0,208.2,15,0.0,0.0,0.0,0.0,0.0
PinFin,Cao et al. 2018,pool,FC-72,,,101.325,,,,1.0,,0.0,239.8,25,0.0,0.0,0.0,0.0,0.0
PinFin,Cao et al. 2018,pool,FC-72,,,101.325,,,,1.0,,0.0,264.5,35,0.0,0.0,0.0,0.0,0.0
PinFin,Cao et al. 2018,pool,FC-72,,,101.325,,,,3.0,,0.0,382.2,15,30.0,60.0,30.0,0.78,0.75
PinFin,Cao et al. 2018,pool,FC-72,,,101.325,,,,3.0,,0.0,444.0,25,30.0,60.0,30.0,0.78,0.75
PinFin,Cao et al. 2018,pool,FC-72,,,101.325,,,,3.0,,0.0,534.5,35,30.0,60.0,30.0,0.78,0.75
PinFin,Cao et al. 2018,pool,FC-72,,,101.325,,,,2.478,,0.0,380.1,15,30.0,60.0,45.0,1.0,0.815
PinFin,Cao et al. 2018,pool,FC-72,,,101.325,,,,2.478,,0.0,463.0,25,30.0,60.0,45.0,1.0,0.815
PinFin,Cao et al. 2018,pool,FC-72,,,101.325,,,,2.478,,0.0,553.1,35,30.0,60.0,45.0,1.0,0.815
PinFin,Guglielmini et al. 2002,pool,FC-72,,,101.325,,,,8.5,,0.0,558.0,0,400.0,3000.0,400.0,1.0,0.75
PinFin,Guglielmini et al. 2002,pool,FC-72,,,101.325,,,,8.5,,0.0,570.1,0,400.0,3000.0,400.0,0.694,0.75
PinFin,Guglielmini et al. 2002,pool,FC-72,,,101.325,,,,8.5,,0.0,517.9,0,400.0,3000.0,400.0,0.444,0.75
PinFin,Guglielmini et al. 2002,pool,FC-72,,,101.325,,,,16.0,,0.0,650.0,0,400.0,6000.0,400.0,1.0,0.75
PinFin,Guglielmini et al. 2002,pool,FC-72,,,101.325,,,,16.0,,0.0,597.0,0,400.0,6000.0,400.0,0.694,0.75
PinFin,Guglielmini et al. 2002,pool,FC-72,,,101.325,,,,16.0,,0.0,655.6,0,400.0,6000.0,400.0,0.444,0.75
PinFin,Guglielmini et al. 2002,pool,FC-72,,,101.325,,,,4.0,,0.0,489.3,0,1000.0,3000.0,1000.0,1.0,0.75
PinFin,Guglielmini et al. 2002,pool,FC-72,,,101.325,,,,4.0,,0.0,459.4,0,1000.0,3000.0,1000.0,0.694,0.75
PinFin,Guglielmini et al. 2002,pool,FC-72,,,101.325,,,,4.0,,0.0,439.0,0,1000.0,3000.0,1000.0,0.444,0.75
PinFin,Guglielmini et al. 2002,pool,FC-72,,,101.325,,,,7.0,,0.0,711.6,0,1000.0,6000.0,1000.0,1.0,0.75
PinFin,Guglielmini et al. 2002,pool,FC-72,,,101.325,,,,7.0,,0.0,559.6,0,1000.0,6000.0,1000.0,0.694,0.75
PinFin,Guglielmini et al. 2002,pool,FC-72,,,101.325,,,,7.0,,0.0,660.7,0,1000.0,6000.0,1000.0,0.444,0.75
