Angle,L_effective_mm,Width_mm,Pnet,CHF_MW_m2,Tsat_Tpool,Surface_tension,rho_l,Cp,Kl,l_w,mu_l,alpha,Ja,R,orientation,geometry_group
90,100,20,3008.478371466619,1.5042391857333095,0.21999820230000466,0.056463999640460005,961.1611655303204,4322.958241821681,0.6787292763890223,5.0,0.0002165775124089147,0.7249401960811628,0.0004211546048878002,8.170402493097235,Ver,ver|90|100|20
180,200,20,3548.2980927117146,0.8870745231779287,2.927225736615,0.057005445147323,963.0512389796895,4309.848552703661,0.6780701416387066,10.0,0.00022264508653847088,0.7066420807301492,0.005586754730920307,8.139504190381063,Down,down|180|200|20
180,200,10,1979.0396277611815,0.9895198138805907,3.0119409376050044,0.057022388187521006,963.1096740428145,4309.45211579014,0.6780471506391115,20.0,0.00022285624129487602,0.7060135470622074,0.005747909107325583,4.06927095397558,Down,down|180|200|10
0,200,10,2235.4075757952724,1.1177037878976361,0.6949373164750057,0.056558987463295005,961.4959288315163,4320.595991607876,0.678624243910169,20.0,0.00021754655167430248,0.7219938674231094,0.0013296295929157646,4.082480560890958,Up,up|0|200|10
90,200,20,4772.556563677535,1.193139140919384,0.05970100844500337,0.056431940201689006,961.0478737409445,4323.761579384764,0.6787637077441055,10.0,0.00021625961535347207,0.7259077766570854,0.00011431014782267326,8.172241030920455,Ver,ver|90|200|20
90,100,20,9090.720895158747,4.545360447579373,67.47609470541,0.069915218941082,995.0926545434678,4181.162694170684,0.6189412343555184,5.0,0.000758032695535604,0.19528298812553424,0.12493622720088882,7.4710494340782825,Ver,ver|90|100|20
90,300,10,3140.220198689057,1.0467400662296855,4.1930277988150095,0.057258605559763004,963.9198820240766,4304.010918062316,0.6777116632854349,30.0,0.00022593468182102662,0.696929252325512,0.0079917609943482,4.062577270552844,Ver,ver|90|300|10
90,300,20,5900.720060766252,0.983453343461042,1.5002260278100152,0.05672004520556201,962.0604479028749,4316.65161332642,0.6784358453007591,15.0,0.00021928240359455828,0.7167339950466101,0.0028677750118192426,8.155755235096972,Ver,ver|90|300|20
180,300,10,2769.8382701204614,0.9232794233734871,7.115000000000009,0.057843000000000006,965.888344325,4291.226393347746,0.67676178775,30.0,0.00023462966024999973,0.6721581825903525,0.01352065442862666,4.046130425180346,Down,down|180|300|10
180,300,20,5201.609748142142,0.8669349580236904,1.6903255308200045,0.056758065106164005,962.1931427444079,4315.731618660802,0.6783894789834647,15.0,0.00021970920542535794,0.7154452768619235,0.0032304733434996022,8.153585764214123,Down,down|180|300|20
0,300,10,2959.1833226939166,0.9863944408979722,6.397172718970012,0.057699434543794004,965.4095079595543,4294.279069000371,0.677010961195615,30.0,0.00023235120787541328,0.6785166380368484,0.012165213125178105,4.050156094820991,Up,up|0|300|10
0,300,20,5542.755476531716,0.9237925794219527,1.8576582986700032,0.05679153165973401,962.309766329075,4314.9253076708965,0.6783480674971357,15.0,0.00022009027544071108,0.7142963909104356,0.0035496088258679913,8.151677280364947,Up,up|0|300|20
