TestID,Diameter,Perimeter,Area,Length,Pressure,Power,MassFlux,MassFlow,InletTemperature,InletEnthalpy,HeatFlux,CHFLocation,Shape,Fluid,Source,Continuous,Quality,QualityPosition,WallPower,WallMesh
65,0.00973,0.0306,7.4356e-05,1.73,6.897e+06,91115.9,1912.4,0.1422,276,1214691.86,1723000,1.727,middle(1),water,Lee(1963),no,-0.031,0.0,0.612,0.097
66,0.00973,0.0306,7.4356e-05,1.73,6.828e+06,92723.5,1898.8,0.1412,262,1143665.7,1753400,1.778,middle(1),water,Lee(1963),no,-0.076,0.0,0.612,0.097
67,0.00973,0.0306,7.4356e-05,1.73,6.828e+06,94992.09999999999,1898.8,0.1412,262,1143665.7,1796300,1.676,middle(1),water,Lee(1963),no,-0.076,0.0,0.612,0.097
68,0.00973,0.0306,7.4356e-05,1.73,6.862e+06,117604.5,2034.4,0.1513,209.5,896537.46,2223900,1.676,middle(1),water,Lee(1963),no,-0.24,0.0,0.612,0.097
69,0.00973,0.0306,7.4356e-05,1.73,6.931e+06,118080.5,2048,0.1523,209.8,897916.57,2232900,1.626,middle(1),water,Lee(1963),no,-0.242,0.0,0.612,0.097
70,0.00973,0.0306,7.4356e-05,1.73,6.931e+06,118080.5,2048,0.1523,209.8,897916.57,2232900,1.727,middle(1),water,Lee(1963),no,-0.242,0.0,0.612,0.097
71,0.00973,0.0306,7.4356e-05,1.73,6.655e+06,100576.5,3526.4,0.2622,274,1204444.22,1901900,1.575,middle(1),water,Lee(1963),no,-0.029,0.0,0.612,0.097
72,0.00973,0.0306,7.4356e-05,1.73,6.897e+06,123659.5,4055.3,0.3015,254.2,1105286.28,2338400,1.575,middle(1),water,Lee(1963),no,-0.104,0.0,0.612,0.097
73,0.00973,0.0306,7.4356e-05,1.73,6.897e+06,110322.7,4055.3,0.3015,252.8,1098477.51,2086200,1.575,middle(1),water,Lee(1963),no,-0.108,0.0,0.612,0.097
74,0.00973,0.0306,7.4356e-05,1.73,6.897e+06,111454.3,4055.3,0.3015,251.3,1091206.89,2107600,1.575,middle(1),water,Lee(1963),no,-0.113,0.0,0.612,0.097
75,0.00973,0.0306,7.4356e-05,1.73,6.793e+06,115240.7,3526.4,0.2622,238.5,1030087,2179200,1.575,middle(1),water,Lee(1963),no,-0.149,0.0,0.612,0.097
76,0.00973,0.0306,7.4356e-05,1.73,6.862e+06,115240.7,3499.2,0.2602,238.3,1029153.75,2179200,1.575,middle(1),water,Lee(1963),no,-0.153,0.0,0.612,0.097
77,0.00973,0.0306,7.4356e-05,1.73,6.862e+06,116472.9,3526.4,0.2622,238.3,1029153.75,2202500,1.575,middle(1),water,Lee(1963),no,-0.153,0.0,0.612,0.097
78,0.00973,0.0306,7.4356e-05,1.73,6.931e+06,114865.2,3499.2,0.2602,238.6,1030577.21,2172100,1.575,middle(1),water,Lee(1963),no,-0.155,0.0,0.612,0.097
79,0.00973,0.0306,7.4356e-05,1.73,6.931e+06,114389.3,3526.4,0.2622,238.1,1028221.17,2163100,1.575,middle(1),water,Lee(1963),no,-0.156,0.0,0.612,0.097
80,0.00973,0.0306,7.4356e-05,1.73,7.207e+06,153654.3,4068.9,0.3025,209.8,898017.54,2905600,1.524,middle(1),water,Lee(1963),no,-0.255,0.0,0.612,0.097
81,0.00973,0.0306,7.4356e-05,1.73,6.862e+06,89883.70000000001,1993.8,0.1483,274.7,1207973.68,1699700,1.524,Middle(2),water,Lee(1963),no,-0.035,0.0,0.332,0.092
82,0.00973,0.0306,7.4356e-05,1.73,6.862e+06,91396.2,1993.8,0.1483,274.7,1207973.68,1728300,1.524,Middle(2),water,Lee(1963),no,-0.035,0.0,0.332,0.092
83,0.00973,0.0306,7.4356e-05,1.73,6.897e+06,90925.5,2020.9,0.1503,274.6,1207442.41,1719400,1.575,Middle(2),water,Lee(1963),no,-0.036,0.0,0.332,0.092
84,0.00973,0.0306,7.4356e-05,1.73,6.931e+06,90544.79999999999,2020.9,0.1503,275,1209495.62,1712200,1.524,Middle(2),water,Lee(1963),no,-0.036,0.0,0.332,0.092
85,0.00973,0.0306,7.4356e-05,1.73,6.966e+06,91115.9,2020.9,0.1503,274.9,1208963.79,1723000,1.524,Middle(2),water,Lee(1963),no,-0.038,0.0,0.332,0.092
86,0.00973,0.0306,7.4356e-05,1.73,6.897e+06,99439.5,2020.9,0.1503,250.4,1086856.39,1880400,1.524,Middle(2),water,Lee(1963),no,-0.116,0.0,0.332,0.092
87,0.00973,0.0306,7.4356e-05,1.73,6.931e+06,96509.90000000001,2020.9,0.1503,250.8,1088788.73,1825000,1.524,Middle(2),water,Lee(1963),no,-0.116,0.0,0.332,0.092
88,0.00973,0.0306,7.4356e-05,1.73,6.966e+06,99915.5,2020.9,0.1503,250.6,1087822.35,1889400,1.524,Middle(2),water,Lee(1963),no,-0.118,0.0,0.332,0.092
89,0.00973,0.0306,7.4356e-05,1.73,6.897e+06,114484.5,2020.9,0.1503,211.5,905585.43,2164900,1.524,Middle(2),water,Lee(1963),no,-0.236,0.0,0.332,0.092
90,0.00973,0.0306,7.4356e-05,1.73,6.966e+06,114484.5,2020.9,0.1503,211.7,906514.55,2164900,1.524,Middle(2),water,Lee(1963),no,-0.238,0.0,0.332,0.092
91,0.00973,0.0306,7.4356e-05,1.73,7.000e+06,136150.3,2034.4,0.1513,161.5,685155.73,2574600,1.524,Middle(2),water,Lee(1963),no,-0.387,0.0,0.332,0.092
92,0.00973,0.0306,7.4356e-05,1.73,7.000e+06,136626.2,2034.4,0.1513,161.5,685155.73,2583600,1.626,Middle(2),water,Lee(1963),no,-0.387,0.0,0.332,0.092
93,0.00973,0.0306,7.4356e-05,1.73,6.828e+06,96599.8,4041.8,0.3005,274.8,1208504.89,1826700,1.422,Middle(2),water,Lee(1963),no,-0.033,0.0,0.332,0.092
