dataset,n,model,split,split_warning,R2,median_fold_R2,worst_fold_R2,RMSE_log,MAE_log,MAPE_pct,n_groups,seconds
pin_fin,175,ANN_MLP,II_condition_wise,,-4337.7982390920415,0.13510606753862653,-6147.867310234468,40.75142883596826,15.915692704847466,3.693961267791283e+89,6.0,0.5
pin_fin,175,ANN_MLP,III_surface_wise,,-0.21472057883822449,-0.5233150279553225,-1.6838207779915937,0.6818617167328997,0.3829222997193845,85.81866799820013,67.0,0.5
pin_fin,175,ANN_MLP,IV_leave_one_publication_out,"DEGENERATE: groups are 100% study-pure -> this is a study split, not a genuine IV_leave_one_publication_out",0.37335675012422676,0.45861041219528464,-41.60162385529629,0.4897430662468091,0.32012768953144993,30.596361817780377,16.0,1.8
pin_fin,175,RandomForest,I_random,,0.9527651245664779,0.9539918310537951,0.8985958817032645,0.13445888336150646,0.09015327209487661,8.879455005639283,,0.5
pin_fin,175,RandomForest,II_condition_wise,,-0.4744479027743802,0.32955408129794306,-0.9900121180409371,0.7512298376719855,0.46811425767296166,29.842176362594014,6.0,0.5
pin_fin,175,RandomForest,III_surface_wise,,0.9544849866206304,0.9523213318348626,0.9143701420104491,0.13198830462317587,0.09838472395905715,9.834269428327064,67.0,0.5
pin_fin,175,RandomForest,IV_leave_one_publication_out,"DEGENERATE: groups are 100% study-pure -> this is a study split, not a genuine IV_leave_one_publication_out",0.9472568767051431,0.8833578150616542,-1.4085813802809257,0.1420826455558161,0.10317690671288675,10.364189488091824,16.0,1.6
pin_fin,175,ExtraTrees,I_random,,0.9651681632111259,0.9619782450979143,0.9488325059318342,0.11546392098887866,0.08178886944165412,8.249028979014968,,0.4
pin_fin,175,ExtraTrees,II_condition_wise,,-0.36925669487581625,0.911006379222482,-0.9196489484455659,0.7239366263689213,0.39231367973404707,23.242422411851706,6.0,0.4
pin_fin,175,ExtraTrees,III_surface_wise,,0.9636585482574406,0.9569024146292741,0.9539062176809232,0.11793949100998084,0.08674736745131652,8.800486224343512,67.0,0.4
pin_fin,175,ExtraTrees,IV_leave_one_publication_out,"DEGENERATE: groups are 100% study-pure -> this is a study split, not a genuine IV_leave_one_publication_out",0.9465653678266491,0.9104185739362434,-1.0728629608762423,0.1430110269074619,0.10151454743503943,10.283452935062295,16.0,1.2
pin_fin,175,XGBoost,I_random,,0.9704289717881867,0.9727207906060689,0.9522468171010242,0.10638767694978668,0.07130609539181447,7.0958631492771,,1.2
pin_fin,175,XGBoost,II_condition_wise,,-0.6780536343247772,0.3944160048125336,-1.2901473249019344,0.8014215788220161,0.4878146037963092,29.530083508251774,6.0,1.1
pin_fin,175,XGBoost,III_surface_wise,,0.9679538267303145,0.965905426530691,0.9465710427373961,0.1107506289707703,0.08205278084516186,8.525521543130811,67.0,1.0
pin_fin,175,XGBoost,IV_leave_one_publication_out,"DEGENERATE: groups are 100% study-pure -> this is a study split, not a genuine IV_leave_one_publication_out",0.9362909431364421,0.8777573734130081,-4.340270551483763,0.1561560090569292,0.11116863485064471,11.766376363956416,16.0,3.4
pin_fin,175,LightGBM,I_random,,0.8699200072873219,0.9267868274429936,0.6133505806512463,0.22313277419425126,0.13548357302555072,12.847778028354115,,0.6
pin_fin,175,LightGBM,II_condition_wise,,-0.4386091462765078,0.4067210638997497,-0.954090298203583,0.7420437672595701,0.4604630040354002,30.056304902967522,6.0,0.6
pin_fin,175,LightGBM,III_surface_wise,,0.88956417252627,0.9240194441053359,0.7255448677948388,0.20559526477643345,0.1347433983126226,13.052754628860914,67.0,0.6
pin_fin,175,LightGBM,IV_leave_one_publication_out,"DEGENERATE: groups are 100% study-pure -> this is a study split, not a genuine IV_leave_one_publication_out",0.7139438003080327,0.7842686906793683,-20.921571266583882,0.3308901166296261,0.20851125354917416,19.362474698771976,16.0,2.1
pin_fin,175,CatBoost,I_random,,0.9748724035014137,0.9769594809371945,0.9584496577200853,0.09806941570995333,0.07003898487579435,6.98949009329549,,0.3
pin_fin,175,CatBoost,II_condition_wise,,-0.3771623446913064,0.36293526706395873,-0.8649484781613337,0.7260235076215396,0.4464783728175534,28.762906066107913,6.0,0.3
pin_fin,175,CatBoost,III_surface_wise,,0.9675440537868901,0.9658622895340051,0.9577733449278112,0.11145646137536733,0.08198798829108651,8.421783908689246,67.0,0.2
pin_fin,175,CatBoost,IV_leave_one_publication_out,"DEGENERATE: groups are 100% study-pure -> this is a study split, not a genuine IV_leave_one_publication_out",0.9198633012899934,0.8601986556473962,-8.429683824139403,0.1751353589273762,0.12250879356025188,12.568853300767326,16.0,0.8
pin_fin,175,GPR_Matern,I_random,,0.9715657845114789,0.9683029903664191,0.9629554964999484,0.10432268069904528,0.07615673096223895,7.63605977866667,,0.2
pin_fin,175,GPR_Matern,II_condition_wise,,-0.3918722056053585,0.9314843226508472,-0.9600437607059225,0.7298906398871198,0.37280381771847615,21.67352192820117,6.0,0.2
pin_fin,175,GPR_Matern,III_surface_wise,,0.9664340792226472,0.9622551271405038,0.9340449048588219,0.11334631247285502,0.0819278562298855,8.30432110510391,67.0,0.2
pin_fin,175,GPR_Matern,IV_leave_one_publication_out,"DEGENERATE: groups are 100% study-pure -> this is a study split, not a genuine IV_leave_one_publication_out",0.939456936420452,0.8978053369146988,-4.265362124066297,0.15222651664620981,0.11003743985808857,11.59622579376491,16.0,0.7
pin_fin,175,Stacking_RF_XGB_SVR,I_random,,0.5277061425970123,0.5352845657843762,0.43765318919270313,0.4251716139369414,0.3342775274710234,36.78289342095208,,5.1
pin_fin,175,Stacking_RF_XGB_SVR,II_condition_wise,,-0.5367074665104727,0.08721065244635717,-1.227828235468233,0.7669264458649785,0.4965039272754172,37.816527657063034,6.0,4.9
pin_fin,175,Stacking_RF_XGB_SVR,III_surface_wise,,0.3883919304390293,0.5968613499178663,-0.4096372372270205,0.48383214244824985,0.37371935178493554,44.32100580751329,67.0,5.0
